,GEOID,NAME,indexed_vulnerability,eaz_type
0,48453002419,"Census Tract 24.19, Travis County, Texas",81.5130023640662,Most Vulnerable
1,48453002422,"Census Tract 24.22, Travis County, Texas",50.212765957446805,Medium Vulnerable
2,48453002423,"Census Tract 24.23, Travis County, Texas",47.70685579196218,Medium Vulnerable
3,48453002424,"Census Tract 24.24, Travis County, Texas",56.643026004728135,Medium Vulnerable
4,48453002430,"Census Tract 24.30, Travis County, Texas",68.51063829787233,Medium-High Vulnerable
5,48453002432,"Census Tract 24.32, Travis County, Texas",64.39716312056738,Medium-High Vulnerable
6,48453002434,"Census Tract 24.34, Travis County, Texas",67.89598108747045,Medium-High Vulnerable
7,48453002436,"Census Tract 24.36, Travis County, Texas",82.31678486997636,Most Vulnerable
8,48453002437,"Census Tract 24.37, Travis County, Texas",48.69976359338061,Medium Vulnerable
9,48453002438,"Census Tract 24.38, Travis County, Texas",44.680851063829785,Medium Vulnerable
10,48453002439,"Census Tract 24.39, Travis County, Texas",67.89598108747045,Medium-High Vulnerable
11,48453002440,"Census Tract 24.40, Travis County, Texas",49.976359338061464,Medium Vulnerable
12,48453002441,"Census Tract 24.41, Travis County, Texas",76.97399527186761,Medium-High Vulnerable
13,48453002442,"Census Tract 24.42, Travis County, Texas",68.65248226950355,Medium-High Vulnerable
14,48453002443,"Census Tract 24.43, Travis County, Texas",59.479905437352244,Medium Vulnerable
15,48453002444,"Census Tract 24.44, Travis County, Texas",51.205673758865245,Medium Vulnerable
16,48453002445,"Census Tract 24.45, Travis County, Texas",53.47517730496454,Medium Vulnerable
17,48453002446,"Census Tract 24.46, Travis County, Texas",27.28132387706856,Medium-Low Vulnerable
18,48453002447,"Census Tract 24.47, Travis County, Texas",68.84160756501181,Medium-High Vulnerable
19,48453002448,"Census Tract 24.48, Travis County, Texas",62.64775413711584,Medium-High Vulnerable
20,48453002449,"Census Tract 24.49, Travis County, Texas",60.28368794326241,Medium-High Vulnerable
21,48453002450,"Census Tract 24.50, Travis County, Texas",65.29550827423168,Medium-High Vulnerable
22,48453002451,"Census Tract 24.51, Travis County, Texas",52.67139479905437,Medium Vulnerable
23,48453002452,"Census Tract 24.52, Travis County, Texas",69.45626477541371,Medium-High Vulnerable
24,48453002453,"Census Tract 24.53, Travis County, Texas",78.10874704491727,Medium-High Vulnerable
25,48453002500,"Census Tract 25, Travis County, Texas",31.20567375886525,Medium-Low Vulnerable
26,48453030000,"Census Tract 300, Travis County, Texas",7.139479905437353,Least Vulnerable
27,48453030100,"Census Tract 301, Travis County, Texas",24.680851063829788,Medium-Low Vulnerable
28,48453030200,"Census Tract 302, Travis County, Texas",25.342789598108745,Medium-Low Vulnerable
29,48453030300,"Census Tract 303, Travis County, Texas",50.9692671394799,Medium Vulnerable
30,48453030400,"Census Tract 304, Travis County, Texas",41.32387706855792,Medium Vulnerable
31,48453030500,"Census Tract 305, Travis County, Texas",23.87706855791962,Medium-Low Vulnerable
32,48453030600,"Census Tract 306, Travis County, Texas",26.57210401891253,Medium-Low Vulnerable
33,48453030700,"Census Tract 307, Travis County, Texas",10.070921985815604,Least Vulnerable
34,48453030800,"Census Tract 308, Travis County, Texas",26.335697399527184,Medium-Low Vulnerable
35,48453030900,"Census Tract 309, Travis County, Texas",49.07801418439716,Medium Vulnerable
36,48453031000,"Census Tract 310, Travis County, Texas",45.342789598108745,Medium Vulnerable
37,48453031100,"Census Tract 311, Travis County, Texas",22.505910165484632,Medium-Low Vulnerable
38,48453031200,"Census Tract 312, Travis County, Texas",17.825059101654848,Least Vulnerable
39,48453031300,"Census Tract 313, Travis County, Texas",22.789598108747043,Medium-Low Vulnerable
40,48453031400,"Census Tract 314, Travis County, Texas",14.609929078014183,Least Vulnerable
41,48453031500,"Census Tract 315, Travis County, Texas",28.22695035460993,Medium-Low Vulnerable
42,48453031600,"Census Tract 316, Travis County, Texas",16.78486997635934,Least Vulnerable
43,48453031700,"Census Tract 317, Travis County, Texas",49.59810874704492,Medium Vulnerable
44,48453031800,"Census Tract 318, Travis County, Texas",60.851063829787236,Medium-High Vulnerable
45,48453031900,"Census Tract 319, Travis County, Texas",32.38770685579196,Medium-Low Vulnerable
46,48453032000,"Census Tract 320, Travis County, Texas",40.283687943262414,Medium Vulnerable
47,48453032100,"Census Tract 321, Travis County, Texas",48.46335697399527,Medium Vulnerable
48,48453032200,"Census Tract 322, Travis County, Texas",11.44208037825059,Least Vulnerable
49,48453032300,"Census Tract 323, Travis County, Texas",53.758865248226954,Medium Vulnerable
50,48453032400,"Census Tract 324, Travis County, Texas",35.13002364066194,Medium-Low Vulnerable
51,48453032500,"Census Tract 325, Travis County, Texas",28.179669030732864,Medium-Low Vulnerable
52,48453032600,"Census Tract 326, Travis County, Texas",14.278959810874706,Least Vulnerable
53,48453032700,"Census Tract 327, Travis County, Texas",25.673758865248224,Medium-Low Vulnerable
54,48453032800,"Census Tract 328, Travis County, Texas",33.66430260047281,Medium-Low Vulnerable
55,48453032900,"Census Tract 329, Travis County, Texas",8.84160756501182,Least Vulnerable
56,48453033000,"Census Tract 330, Travis County, Texas",24.9645390070922,Medium-Low Vulnerable
57,48453033100,"Census Tract 331, Travis County, Texas",9.314420803782506,Least Vulnerable
58,48453033200,"Census Tract 332, Travis County, Texas",41.843971631205676,Medium Vulnerable
59,48453033300,"Census Tract 333, Travis County, Texas",8.416075650118202,Least Vulnerable
60,48453033400,"Census Tract 334, Travis County, Texas",43.68794326241135,Medium Vulnerable
61,48453033500,"Census Tract 335, Travis County, Texas",39.76359338061466,Medium-Low Vulnerable
62,48453033600,"Census Tract 336, Travis County, Texas",14.326241134751774,Least Vulnerable
63,48453033700,"Census Tract 337, Travis County, Texas",22.69503546099291,Medium-Low Vulnerable
64,48453033800,"Census Tract 338, Travis County, Texas",17.96690307328605,Least Vulnerable
65,48453033900,"Census Tract 339, Travis County, Texas",11.583924349881796,Least Vulnerable
66,48453034000,"Census Tract 340, Travis County, Texas",19.763593380614658,Least Vulnerable
67,48453034100,"Census Tract 341, Travis County, Texas",53.14420803782506,Medium Vulnerable
68,48453034200,"Census Tract 342, Travis County, Texas",30.40189125295508,Medium-Low Vulnerable
69,48453034300,"Census Tract 343, Travis County, Texas",12.056737588652481,Least Vulnerable
70,48453034400,"Census Tract 344, Travis County, Texas",31.39479905437352,Medium-Low Vulnerable
71,48453034500,"Census Tract 345, Travis County, Texas",,Least Vulnerable
72,48453034600,"Census Tract 346, Travis County, Texas",30.40189125295508,Medium-Low Vulnerable
73,48453034700,"Census Tract 347, Travis County, Texas",22.03309692671395,Medium-Low Vulnerable
74,48453034800,"Census Tract 348, Travis County, Texas",25.626477541371155,Medium-Low Vulnerable
75,48453034900,"Census Tract 349, Travis County, Texas",12.955082742316785,Least Vulnerable
76,48453035000,"Census Tract 350, Travis County, Texas",21.6548463356974,Medium-Low Vulnerable
77,48453035100,"Census Tract 351, Travis County, Texas",11.82033096926714,Least Vulnerable
78,48453035200,"Census Tract 352, Travis County, Texas",21.98581560283688,Medium-Low Vulnerable
79,48453035300,"Census Tract 353, Travis County, Texas",4.58628841607565,Least Vulnerable
80,48453035400,"Census Tract 354, Travis County, Texas",0.3309692671394799,Least Vulnerable
81,48453035500,"Census Tract 355, Travis County, Texas",,Least Vulnerable
82,48453035600,"Census Tract 356, Travis County, Texas",20.0,Least Vulnerable
83,48453035700,"Census Tract 357, Travis County, Texas",5.295508274231678,Least Vulnerable
84,48453035800,"Census Tract 358, Travis County, Texas",27.754137115839246,Medium-Low Vulnerable
85,48453035900,"Census Tract 359, Travis County, Texas",17.63593380614657,Least Vulnerable
86,48453036000,"Census Tract 360, Travis County, Texas",,Least Vulnerable
87,48453036100,"Census Tract 361, Travis County, Texas",13.711583924349883,Least Vulnerable
88,48453036200,"Census Tract 362, Travis County, Texas",,Least Vulnerable
89,48453036300,"Census Tract 363, Travis County, Texas",64.01891252955083,Medium-High Vulnerable
90,48453036400,"Census Tract 364, Travis County, Texas",20.803782505910164,Medium-Low Vulnerable
91,48453036500,"Census Tract 365, Travis County, Texas",14.704491725768321,Least Vulnerable
92,48453036600,"Census Tract 366, Travis County, Texas",4.397163120567376,Least Vulnerable
93,48453036700,"Census Tract 367, Travis County, Texas",15.886524822695037,Least Vulnerable
94,48453036800,"Census Tract 368, Travis County, Texas",4.869976359338062,Least Vulnerable
95,48453036900,"Census Tract 369, Travis County, Texas",14.799054373522457,Least Vulnerable
96,48453037000,"Census Tract 370, Travis County, Texas",30.40189125295508,Medium-Low Vulnerable
97,48453037100,"Census Tract 371, Travis County, Texas",16.6903073286052,Least Vulnerable
98,48453037200,"Census Tract 372, Travis County, Texas",34.751773049645394,Medium-Low Vulnerable
99,48453037300,"Census Tract 373, Travis County, Texas",41.040189125295505,Medium Vulnerable
100,48453037400,"Census Tract 374, Travis County, Texas",33.56973995271868,Medium-Low Vulnerable
101,48453037500,"Census Tract 375, Travis County, Texas",34.515366430260045,Medium-Low Vulnerable
102,48453037600,"Census Tract 376, Travis County, Texas",20.99290780141844,Medium-Low Vulnerable
103,48453040000,"Census Tract 400, Travis County, Texas",79.43262411347519,Medium-High Vulnerable
104,48453040100,"Census Tract 401, Travis County, Texas",83.78250591016548,Most Vulnerable
105,48453040200,"Census Tract 402, Travis County, Texas",87.99054373522459,Most Vulnerable
106,48453040300,"Census Tract 403, Travis County, Texas",84.20803782505911,Most Vulnerable
107,48453040400,"Census Tract 404, Travis County, Texas",42.64775413711584,Medium Vulnerable
108,48453040500,"Census Tract 405, Travis County, Texas",76.07565011820331,Medium-High Vulnerable
109,48453040600,"Census Tract 406, Travis County, Texas",83.40425531914893,Most Vulnerable
110,48453040700,"Census Tract 407, Travis County, Texas",84.30260047281324,Most Vulnerable
111,48453040800,"Census Tract 408, Travis County, Texas",69.55082742316785,Medium-High Vulnerable
112,48453040900,"Census Tract 409, Travis County, Texas",80.52009456264776,Most Vulnerable
113,48453041000,"Census Tract 410, Travis County, Texas",82.83687943262412,Most Vulnerable
114,48453041100,"Census Tract 411, Travis County, Texas",47.28132387706856,Medium Vulnerable
115,48453041200,"Census Tract 412, Travis County, Texas",50.92198581560283,Medium Vulnerable
116,48453041300,"Census Tract 413, Travis County, Texas",32.90780141843971,Medium-Low Vulnerable
117,48453041400,"Census Tract 414, Travis County, Texas",25.390070921985814,Medium-Low Vulnerable
118,48453041500,"Census Tract 415, Travis County, Texas",65.91016548463357,Medium-High Vulnerable
119,48453041600,"Census Tract 416, Travis County, Texas",72.62411347517731,Medium-High Vulnerable
120,48453041700,"Census Tract 417, Travis County, Texas",52.90780141843972,Medium Vulnerable
121,48453041800,"Census Tract 418, Travis County, Texas",59.62174940898345,Medium Vulnerable
122,48453041900,"Census Tract 419, Travis County, Texas",54.2789598108747,Medium Vulnerable
123,48453042000,"Census Tract 420, Travis County, Texas",13.900709219858157,Least Vulnerable
124,48453042100,"Census Tract 421, Travis County, Texas",61.182033096926716,Medium-High Vulnerable
125,48453042200,"Census Tract 422, Travis County, Texas",42.269503546099294,Medium Vulnerable
126,48453042300,"Census Tract 423, Travis County, Texas",46.666666666666664,Medium Vulnerable
127,48453042400,"Census Tract 424, Travis County, Texas",51.58392434988179,Medium Vulnerable
128,48453042500,"Census Tract 425, Travis County, Texas",48.983451536643024,Medium Vulnerable
129,48453042600,"Census Tract 426, Travis County, Texas",70.87470449172577,Medium-High Vulnerable
130,48453042700,"Census Tract 427, Travis County, Texas",43.87706855791962,Medium Vulnerable
131,48453042800,"Census Tract 428, Travis County, Texas",42.78959810874704,Medium Vulnerable
132,48453042900,"Census Tract 429, Travis County, Texas",78.86524822695036,Medium-High Vulnerable
133,48453043000,"Census Tract 430, Travis County, Texas",58.58156028368794,Medium Vulnerable
134,48453043100,"Census Tract 431, Travis County, Texas",84.34988179669031,Most Vulnerable
135,48453043200,"Census Tract 432, Travis County, Texas",79.95271867612294,Medium-High Vulnerable
136,48453043300,"Census Tract 433, Travis County, Texas",80.1418439716312,Most Vulnerable
137,48453043400,"Census Tract 434, Travis County, Texas",86.19385342789599,Most Vulnerable
138,48453043500,"Census Tract 435, Travis County, Texas",55.7919621749409,Medium Vulnerable
139,48453043600,"Census Tract 436, Travis County, Texas",68.74704491725768,Medium-High Vulnerable
140,48453043700,"Census Tract 437, Travis County, Texas",57.21040189125296,Medium Vulnerable
141,48453043800,"Census Tract 438, Travis County, Texas",59.52718676122931,Medium Vulnerable
142,48453043900,"Census Tract 439, Travis County, Texas",55.74468085106383,Medium Vulnerable
143,48453044000,"Census Tract 440, Travis County, Texas",70.8274231678487,Medium-High Vulnerable
144,48453044100,"Census Tract 441, Travis County, Texas",43.64066193853428,Medium Vulnerable
145,48453044200,"Census Tract 442, Travis County, Texas",55.74468085106383,Medium Vulnerable
146,48453044300,"Census Tract 443, Travis County, Texas",67.04491725768321,Medium-High Vulnerable
147,48453044400,"Census Tract 444, Travis County, Texas",52.90780141843972,Medium Vulnerable
148,48453044500,"Census Tract 445, Travis County, Texas",52.00945626477541,Medium Vulnerable
149,48453044600,"Census Tract 446, Travis County, Texas",63.54609929078015,Medium-High Vulnerable
150,48453044700,"Census Tract 447, Travis County, Texas",75.55555555555556,Medium-High Vulnerable
151,48453044800,"Census Tract 448, Travis County, Texas",69.12529550827423,Medium-High Vulnerable
152,48453044900,"Census Tract 449, Travis County, Texas",75.36643026004728,Medium-High Vulnerable
153,48453045000,"Census Tract 450, Travis County, Texas",65.67375886524822,Medium-High Vulnerable
154,48453045100,"Census Tract 451, Travis County, Texas",36.312056737588655,Medium-Low Vulnerable
155,48453045200,"Census Tract 452, Travis County, Texas",40.99290780141844,Medium Vulnerable
156,48453045300,"Census Tract 453, Travis County, Texas",56.973995271867615,Medium Vulnerable
157,48453045400,"Census Tract 454, Travis County, Texas",24.2080378250591,Medium-Low Vulnerable
158,48453045500,"Census Tract 455, Travis County, Texas",58.392434988179666,Medium Vulnerable
159,48453045600,"Census Tract 456, Travis County, Texas",34.94089834515366,Medium-Low Vulnerable
160,48453045700,"Census Tract 457, Travis County, Texas",70.87470449172577,Medium-High Vulnerable
161,48453045800,"Census Tract 458, Travis County, Texas",74.98817966903073,Medium-High Vulnerable
162,48453045900,"Census Tract 459, Travis County, Texas",68.274231678487,Medium-High Vulnerable
163,48453046000,"Census Tract 460, Travis County, Texas",52.76595744680851,Medium Vulnerable
164,48453046100,"Census Tract 461, Travis County, Texas",43.924349881796694,Medium Vulnerable
165,48453046200,"Census Tract 462, Travis County, Texas",47.61229314420804,Medium Vulnerable
166,48453046300,"Census Tract 463, Travis County, Texas",30.023640661938533,Medium-Low Vulnerable
167,48453046400,"Census Tract 464, Travis County, Texas",59.33806146572104,Medium Vulnerable
168,48453046500,"Census Tract 465, Travis County, Texas",57.446808510638306,Medium Vulnerable
169,48453046600,"Census Tract 466, Travis County, Texas",42.5531914893617,Medium Vulnerable
170,48453046700,"Census Tract 467, Travis County, Texas",24.397163120567374,Medium-Low Vulnerable
171,48453046800,"Census Tract 468, Travis County, Texas",29.314420803782504,Medium-Low Vulnerable
172,48453046900,"Census Tract 469, Travis County, Texas",15.791962174940899,Least Vulnerable
173,48453047000,"Census Tract 470, Travis County, Texas",13.09692671394799,Least Vulnerable
174,48453980000,"Census Tract 9800, Travis County, Texas",,Least Vulnerable
175,48055960102,"Census Tract 9601.02, Caldwell County, Texas",53.995271867612296,Medium Vulnerable
176,48055960103,"Census Tract 9601.03, Caldwell County, Texas",81.22931442080377,Most Vulnerable
177,48055960104,"Census Tract 9601.04, Caldwell County, Texas",73.33333333333333,Medium-High Vulnerable
178,48055960200,"Census Tract 9602, Caldwell County, Texas",64.39716312056738,Medium-High Vulnerable
179,48055960300,"Census Tract 9603, Caldwell County, Texas",64.77541371158392,Medium-High Vulnerable
180,48055960400,"Census Tract 9604, Caldwell County, Texas",74.94089834515366,Medium-High Vulnerable
181,48055960501,"Census Tract 9605.01, Caldwell County, Texas",59.385342789598106,Medium Vulnerable
182,48055960502,"Census Tract 9605.02, Caldwell County, Texas",75.36643026004728,Medium-High Vulnerable
183,48055960600,"Census Tract 9606, Caldwell County, Texas",33.90070921985816,Medium-Low Vulnerable
184,48055960701,"Census Tract 9607.01, Caldwell County, Texas",72.86052009456266,Medium-High Vulnerable
185,48055960702,"Census Tract 9607.02, Caldwell County, Texas",60.33096926713948,Medium-High Vulnerable
186,48021950101,"Census Tract 9501.01, Bastrop County, Texas",45.29550827423168,Medium Vulnerable
187,48021950102,"Census Tract 9501.02, Bastrop County, Texas",46.85579196217494,Medium Vulnerable
188,48021950201,"Census Tract 9502.01, Bastrop County, Texas",86.24113475177305,Most Vulnerable
189,48021950202,"Census Tract 9502.02, Bastrop County, Texas",61.41843971631206,Medium-High Vulnerable
190,48021950301,"Census Tract 9503.01, Bastrop County, Texas",41.46572104018912,Medium Vulnerable
191,48021950302,"Census Tract 9503.02, Bastrop County, Texas",60.09456264775414,Medium-High Vulnerable
192,48021950303,"Census Tract 9503.03, Bastrop County, Texas",58.061465721040186,Medium Vulnerable
193,48021950401,"Census Tract 9504.01, Bastrop County, Texas",45.39007092198582,Medium Vulnerable
194,48021950402,"Census Tract 9504.02, Bastrop County, Texas",32.57683215130024,Medium-Low Vulnerable
195,48021950403,"Census Tract 9504.03, Bastrop County, Texas",54.326241134751776,Medium Vulnerable
196,48021950503,"Census Tract 9505.03, Bastrop County, Texas",31.773049645390074,Medium-Low Vulnerable
197,48021950504,"Census Tract 9505.04, Bastrop County, Texas",33.75886524822695,Medium-Low Vulnerable
198,48021950505,"Census Tract 9505.05, Bastrop County, Texas",70.49645390070923,Medium-High Vulnerable
199,48021950506,"Census Tract 9505.06, Bastrop County, Texas",62.836879432624116,Medium-High Vulnerable
200,48021950601,"Census Tract 9506.01, Bastrop County, Texas",37.399527186761226,Medium-Low Vulnerable
201,48021950602,"Census Tract 9506.02, Bastrop County, Texas",42.931442080378254,Medium Vulnerable
202,48021950700,"Census Tract 9507, Bastrop County, Texas",36.45390070921986,Medium-Low Vulnerable
203,48021950803,"Census Tract 9508.03, Bastrop County, Texas",67.70685579196217,Medium-High Vulnerable
204,48021950804,"Census Tract 9508.04, Bastrop County, Texas",63.45153664302601,Medium-High Vulnerable
205,48021950805,"Census Tract 9508.05, Bastrop County, Texas",75.50827423167848,Medium-High Vulnerable
206,48021950806,"Census Tract 9508.06, Bastrop County, Texas",51.11111111111111,Medium Vulnerable
207,48491020106,"Census Tract 201.06, Williamson County, Texas",9.030732860520095,Least Vulnerable
208,48491020108,"Census Tract 201.08, Williamson County, Texas",25.626477541371155,Medium-Low Vulnerable
209,48491020109,"Census Tract 201.09, Williamson County, Texas",10.023640661938535,Least Vulnerable
210,48491020111,"Census Tract 201.11, Williamson County, Texas",31.347517730496456,Medium-Low Vulnerable
211,48491020113,"Census Tract 201.13, Williamson County, Texas",52.05673758865248,Medium Vulnerable
212,48491020114,"Census Tract 201.14, Williamson County, Texas",52.81323877068558,Medium Vulnerable
213,48491020115,"Census Tract 201.15, Williamson County, Texas",9.125295508274233,Least Vulnerable
214,48491020116,"Census Tract 201.16, Williamson County, Texas",31.678486997635936,Medium-Low Vulnerable
215,48491020117,"Census Tract 201.17, Williamson County, Texas",29.881796690307326,Medium-Low Vulnerable
216,48491020118,"Census Tract 201.18, Williamson County, Texas",18.29787234042553,Least Vulnerable
217,48491020119,"Census Tract 201.19, Williamson County, Texas",29.598108747044915,Medium-Low Vulnerable
218,48491020120,"Census Tract 201.20, Williamson County, Texas",28.841607565011824,Medium-Low Vulnerable
219,48491020121,"Census Tract 201.21, Williamson County, Texas",12.907801418439716,Least Vulnerable
220,48491020122,"Census Tract 201.22, Williamson County, Texas",19.33806146572104,Least Vulnerable
221,48491020123,"Census Tract 201.23, Williamson County, Texas",32.57683215130024,Medium-Low Vulnerable
222,48491020124,"Census Tract 201.24, Williamson County, Texas",7.5177304964539005,Least Vulnerable
223,48491020201,"Census Tract 202.01, Williamson County, Texas",42.931442080378254,Medium Vulnerable
224,48491020203,"Census Tract 202.03, Williamson County, Texas",20.425531914893615,Medium-Low Vulnerable
225,48491020205,"Census Tract 202.05, Williamson County, Texas",23.92434988179669,Medium-Low Vulnerable
226,48491020206,"Census Tract 202.06, Williamson County, Texas",49.219858156028366,Medium Vulnerable
227,48491020207,"Census Tract 202.07, Williamson County, Texas",16.6903073286052,Least Vulnerable
228,48491020208,"Census Tract 202.08, Williamson County, Texas",27.375886524822697,Medium-Low Vulnerable
229,48491020310,"Census Tract 203.10, Williamson County, Texas",26.28841607565012,Medium-Low Vulnerable
230,48491020311,"Census Tract 203.11, Williamson County, Texas",41.32387706855792,Medium Vulnerable
231,48491020319,"Census Tract 203.19, Williamson County, Texas",38.959810874704495,Medium-Low Vulnerable
232,48491020321,"Census Tract 203.21, Williamson County, Texas",71.48936170212767,Medium-High Vulnerable
233,48491020323,"Census Tract 203.23, Williamson County, Texas",32.52955082742317,Medium-Low Vulnerable
234,48491020325,"Census Tract 203.25, Williamson County, Texas",61.702127659574465,Medium-High Vulnerable
235,48491020326,"Census Tract 203.26, Williamson County, Texas",12.576832151300236,Least Vulnerable
236,48491020327,"Census Tract 203.27, Williamson County, Texas",46.52482269503546,Medium Vulnerable
237,48491020329,"Census Tract 203.29, Williamson County, Texas",30.638297872340424,Medium-Low Vulnerable
238,48491020330,"Census Tract 203.30, Williamson County, Texas",30.354609929078013,Medium-Low Vulnerable
239,48491020331,"Census Tract 203.31, Williamson County, Texas",40.33096926713948,Medium Vulnerable
240,48491020332,"Census Tract 203.32, Williamson County, Texas",43.12056737588652,Medium Vulnerable
241,48491020333,"Census Tract 203.33, Williamson County, Texas",44.01891252955083,Medium Vulnerable
242,48491020334,"Census Tract 203.34, Williamson County, Texas",54.515366430260045,Medium Vulnerable
243,48491020335,"Census Tract 203.35, Williamson County, Texas",24.349881796690305,Medium-Low Vulnerable
244,48491020336,"Census Tract 203.36, Williamson County, Texas",33.56973995271868,Medium-Low Vulnerable
245,48491020337,"Census Tract 203.37, Williamson County, Texas",5.24822695035461,Least Vulnerable
246,48491020338,"Census Tract 203.38, Williamson County, Texas",25.626477541371155,Medium-Low Vulnerable
247,48491020339,"Census Tract 203.39, Williamson County, Texas",21.70212765957447,Medium-Low Vulnerable
248,48491020340,"Census Tract 203.40, Williamson County, Texas",46.57210401891253,Medium Vulnerable
249,48491020341,"Census Tract 203.41, Williamson County, Texas",34.515366430260045,Medium-Low Vulnerable
250,48491020342,"Census Tract 203.42, Williamson County, Texas",45.579196217494086,Medium Vulnerable
251,48491020343,"Census Tract 203.43, Williamson County, Texas",56.35933806146573,Medium Vulnerable
252,48491020344,"Census Tract 203.44, Williamson County, Texas",50.16548463356973,Medium Vulnerable
